Date,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Winner,Umpire1,Umpire2
2022-12-22 13:25:33,Kings XI Punjab,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Kings XI Punjab,Umpire4,Umpire10
2018-10-14 16:41:47,Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Mumbai Indians,Umpire1,Umpire3
2024-01-10 23:44:33,Sunrisers Hyderabad,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,Umpire18,Umpire15
2018-08-10 14:26:09,Rajasthan Royals,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,field,Rajasthan Royals,Umpire10,Umpire16
2012-11-18 15:04:44,Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Mumbai Indians,Umpire15,Umpire20
2019-05-29 06:02:56,Sunrisers Hyderabad,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire10,Umpire6
2014-12-05 10:55:36,Royal Challengers Bangalore,Lucknow Super Giants,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Lucknow Super Giants,Umpire12,Umpire10
2015-12-08 07:59:25,Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire11,Umpire8
2011-09-01 14:11:03,Chennai Super Kings,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Delhi Capitals,Umpire12,Umpire5
2014-09-07 11:03:52,Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire2,Umpire13
2007-12-05 18:08:23,Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Umpire6,Umpire15
2010-05-13 23:00:32,Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Gujarat Titans,Umpire17,Umpire5
2011-07-17 17:21:33,Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire3,Umpire20
2019-04-27 02:14:36,Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire4,Umpire8
2012-11-01 09:32:14,Gujarat Titans,Kings XI Punjab,Eden Gardens,Gujarat Titans,field,Kings XI Punjab,Umpire8,Umpire20
2011-09-30 19:08:26,Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,Chennai Super Kings,Umpire3,Umpire3
2009-04-28 01:29:57,Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,Mumbai Indians,Umpire2,Umpire10
2019-12-15 15:04:33,Sunrisers Hyderabad,Kings XI Punjab,Eden Gardens,Kings XI Punjab,field,Sunrisers Hyderabad,Umpire3,Umpire8
2022-06-14 20:21:08,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire2,Umpire2
2008-08-08 01:43:43,Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,Kolkata Knight Riders,bat,Delhi Capitals,Umpire8,Umpire8
2023-01-01 15:06:59,Kings XI Punjab,Sunrisers Hyderabad,Wankhede Stadium,Kings XI Punjab,field,Sunrisers Hyderabad,Umpire19,Umpire15
2007-10-25 20:16:49,Lucknow Super Giants,Gujarat Titans,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire15,Umpire11
2010-09-03 01:02:48,Kings XI Punjab,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Sunrisers Hyderabad,Umpire3,Umpire5
2020-07-14 07:00:45,Gujarat Titans,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire3,Umpire15
2011-01-02 16:02:11,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire12,Umpire9
2021-05-19 17:58:48,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Kolkata Knight Riders,Umpire18,Umpire9
2016-10-06 09:55:58,Kings XI Punjab,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Kings XI Punjab,field,Sunrisers Hyderabad,Umpire18,Umpire13
2014-07-13 06:47:19,Royal Challengers Bangalore,Kings XI Punjab,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Kings XI Punjab,Umpire1,Umpire19
2020-02-27 18:32:47,Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire18,Umpire7
2010-05-23 09:10:34,Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire16,Umpire17
2009-08-25 01:21:24,Gujarat Titans,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Gujarat Titans,Umpire2,Umpire14
2018-02-24 09:47:46,Chennai Super Kings,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Chennai Super Kings,Umpire3,Umpire8
2019-06-23 08:32:10,Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,field,Chennai Super Kings,Umpire17,Umpire4
2013-09-03 12:12:19,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire6,Umpire14
2014-05-10 14:08:33,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Kolkata Knight Riders,Umpire13,Umpire8
2017-09-20 20:46:08,Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire16,Umpire17
2019-06-12 11:34:34,Lucknow Super Giants,Kings XI Punjab,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire15,Umpire6
2015-10-21 00:58:11,Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals,Umpire12,Umpire19
2009-05-17 02:36:22,Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire7,Umpire13
2018-05-01 11:39:50,Delhi Capitals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Delhi Capitals,Umpire11,Umpire3
2022-05-02 13:36:16,Sunrisers Hyderabad,Lucknow Super Giants,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Lucknow Super Giants,Umpire8,Umpire9
2016-10-19 16:46:36,Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Mumbai Indians,Umpire3,Umpire8
2022-04-29 05:34:22,Gujarat Titans,Delhi Capitals,Eden Gardens,Gujarat Titans,field,Gujarat Titans,Umpire18,Umpire3
2023-11-22 12:50:07,Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Gujarat Titans,bat,Lucknow Super Giants,Umpire18,Umpire15
2013-11-10 08:10:44,Chennai Super Kings,Delhi Capitals,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,Umpire14,Umpire13
2012-10-08 15:58:52,Chennai Super Kings,Delhi Capitals,Eden Gardens,Chennai Super Kings,field,Delhi Capitals,Umpire6,Umpire5
2008-11-08 19:23:11,Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire12,Umpire4
2008-07-29 04:25:27,Gujarat Titans,Delhi Capitals,Wankhede Stadium,Gujarat Titans,field,Delhi Capitals,Umpire17,Umpire3
2009-12-30 17:55:16,Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,Royal Challengers Bangalore,Umpire9,Umpire19
2008-02-21 06:04:54,Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire5,Umpire8
2008-07-25 04:35:43,Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,Umpire7,Umpire14
2011-02-07 18:41:13,Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire9,Umpire20
2013-08-05 16:29:35,Kings XI Punjab,Lucknow Super Giants,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Lucknow Super Giants,Umpire4,Umpire16
2017-06-12 19:52:26,Chennai Super Kings,Gujarat Titans,Eden Gardens,Gujarat Titans,field,Gujarat Titans,Umpire8,Umpire7
2023-07-15 18:20:45,Sunrisers Hyderabad,Gujarat Titans,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire3,Umpire13
2010-03-15 22:46:50,Gujarat Titans,Royal Challengers Bangalore,Arun Jaitley Stadium,Gujarat Titans,bat,Royal Challengers Bangalore,Umpire13,Umpire1
2012-09-08 17:10:26,Royal Challengers Bangalore,Kings XI Punjab,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire18,Umpire13
2021-06-04 04:51:01,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi Capitals,field,Sunrisers Hyderabad,Umpire1,Umpire17
2016-05-27 03:58:36,Lucknow Super Giants,Royal Challengers Bangalore,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire16,Umpire9
2010-05-22 22:40:28,Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire5,Umpire20
2009-12-13 10:53:22,Delhi Capitals,Gujarat Titans,Wankhede Stadium,Delhi Capitals,field,Gujarat Titans,Umpire1,Umpire5
2009-04-30 18:27:32,Mumbai Indians,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire17,Umpire5
2024-05-01 17:48:03,Royal Challengers Bangalore,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Royal Challengers Bangalore,Umpire15,Umpire2
2022-04-10 13:26:26,Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire15,Umpire10
2022-01-05 22:55:44,Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire18,Umpire18
2020-06-25 17:15:48,Sunrisers Hyderabad,Royal Challengers Bangalore,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,Umpire8,Umpire9
2011-08-26 15:16:48,Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Mumbai Indians,field,Lucknow Super Giants,Umpire11,Umpire6
2012-04-24 16:42:38,Lucknow Super Giants,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire16,Umpire5
2010-12-08 23:02:18,Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Mumbai Indians,Umpire17,Umpire4
2007-12-20 18:02:42,Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals,Umpire16,Umpire12
2013-10-28 12:35:18,Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire17,Umpire6
2014-10-26 00:21:56,Royal Challengers Bangalore,Kings XI Punjab,Eden Gardens,Kings XI Punjab,field,Royal Challengers Bangalore,Umpire4,Umpire7
2009-05-07 16:17:31,Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire19,Umpire5
2011-07-09 13:29:03,Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire8,Umpire17
2008-03-17 20:30:35,Royal Challengers Bangalore,Gujarat Titans,Eden Gardens,Royal Challengers Bangalore,field,Gujarat Titans,Umpire5,Umpire8
2015-08-23 16:16:02,Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,field,Delhi Capitals,Umpire13,Umpire16
2018-12-31 06:09:15,Gujarat Titans,Kings XI Punjab,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire8,Umpire3
2008-11-25 06:56:51,Kolkata Knight Riders,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire16,Umpire18
2010-05-20 23:36:52,Lucknow Super Giants,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Lucknow Super Giants,Umpire2,Umpire9
2019-03-18 14:55:06,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,Mumbai Indians,Umpire5,Umpire4
2022-01-30 16:30:19,Chennai Super Kings,Rajasthan Royals,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire20,Umpire18
2022-12-10 23:24:07,Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire14,Umpire5
2007-11-25 18:27:02,Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Chennai Super Kings,bat,Lucknow Super Giants,Umpire12,Umpire10
2014-01-25 18:19:42,Royal Challengers Bangalore,Kings XI Punjab,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire14,Umpire3
2014-02-16 04:30:14,Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire2,Umpire8
2018-11-30 16:17:32,Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire15,Umpire12
2010-03-06 20:01:20,Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire3,Umpire18
2013-09-14 10:22:45,Chennai Super Kings,Rajasthan Royals,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,Umpire20,Umpire9
2009-08-28 12:55:47,Delhi Capitals,Rajasthan Royals,Wankhede Stadium,Delhi Capitals,field,Delhi Capitals,Umpire12,Umpire3
2011-02-07 06:50:21,Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire2,Umpire13
2012-03-16 20:45:38,Gujarat Titans,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,Gujarat Titans,Umpire20,Umpire4
2009-10-18 00:40:05,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,field,Royal Challengers Bangalore,Umpire9,Umpire12
2020-03-09 05:45:21,Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,Delhi Capitals,bat,Kolkata Knight Riders,Umpire10,Umpire16
2019-05-12 09:41:06,Rajasthan Royals,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants,Umpire19,Umpire7
2016-05-16 15:45:46,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Sunrisers Hyderabad,Umpire4,Umpire6
2024-04-16 10:46:32,Delhi Capitals,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,bat,Delhi Capitals,Umpire16,Umpire15
2023-04-10 22:26:40,Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire13,Umpire2
2023-10-26 02:34:23,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Chennai Super Kings,bat,Kolkata Knight Riders,Umpire7,Umpire13
2021-02-08 07:20:30,Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,Sunrisers Hyderabad,field,Delhi Capitals,Umpire7,Umpire12
2012-11-09 07:22:41,Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,Royal Challengers Bangalore,field,Rajasthan Royals,Umpire7,Umpire7
2014-06-14 16:16:17,Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire19,Umpire19
2023-02-23 18:46:03,Chennai Super Kings,Delhi Capitals,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire10,Umpire1
2009-01-18 23:55:11,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,Sunrisers Hyderabad,Umpire15,Umpire16
2021-07-25 12:35:59,Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire17,Umpire3
2018-08-14 06:59:16,Rajasthan Royals,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Rajasthan Royals,Umpire14,Umpire10
2024-01-15 10:31:57,Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,Lucknow Super Giants,Umpire18,Umpire19
2020-10-23 13:35:27,Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire19,Umpire6
2011-08-01 07:32:36,Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,Mumbai Indians,Umpire7,Umpire13
2007-12-19 01:49:50,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire4,Umpire9
2018-04-01 22:06:22,Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire18,Umpire4
2008-12-14 09:24:53,Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,Royal Challengers Bangalore,bat,Chennai Super Kings,Umpire6,Umpire2
2021-08-06 15:29:49,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire13,Umpire10
2017-03-19 18:28:07,Gujarat Titans,Lucknow Super Giants,Arun Jaitley Stadium,Gujarat Titans,field,Gujarat Titans,Umpire19,Umpire17
2016-03-09 09:13:11,Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Delhi Capitals,field,Delhi Capitals,Umpire3,Umpire4
2013-06-03 10:50:35,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Kings XI Punjab,Umpire13,Umpire16
2021-10-16 12:53:01,Gujarat Titans,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire12,Umpire7
2015-09-11 18:34:40,Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,Umpire9,Umpire2
2010-11-15 10:25:08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire2,Umpire16
2015-05-21 17:58:30,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Mumbai Indians,Umpire8,Umpire16
2008-06-16 11:37:33,Kings XI Punjab,Kolkata Knight Riders,Wankhede Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire19,Umpire19
2013-05-21 01:36:46,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,Sunrisers Hyderabad,Umpire16,Umpire8
2021-04-12 15:21:11,Lucknow Super Giants,Kings XI Punjab,Eden Gardens,Kings XI Punjab,field,Kings XI Punjab,Umpire5,Umpire6
2009-08-07 07:34:23,Lucknow Super Giants,Gujarat Titans,M. Chinnaswamy Stadium,Gujarat Titans,bat,Lucknow Super Giants,Umpire15,Umpire13
2016-05-09 15:13:49,Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire12,Umpire19
2015-04-22 13:38:51,Chennai Super Kings,Gujarat Titans,Wankhede Stadium,Chennai Super Kings,field,Gujarat Titans,Umpire3,Umpire17
2016-11-18 02:48:32,Kolkata Knight Riders,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire1,Umpire8
2023-05-22 01:05:19,Rajasthan Royals,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Delhi Capitals,Umpire7,Umpire13
2021-03-01 05:16:02,Rajasthan Royals,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire8,Umpire7
2018-09-12 09:48:00,Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Kolkata Knight Riders,field,Gujarat Titans,Umpire14,Umpire12
2010-10-09 10:41:57,Lucknow Super Giants,Kings XI Punjab,Eden Gardens,Kings XI Punjab,field,Lucknow Super Giants,Umpire18,Umpire12
2015-04-25 09:19:54,Gujarat Titans,Delhi Capitals,Wankhede Stadium,Gujarat Titans,field,Delhi Capitals,Umpire15,Umpire12
2022-09-21 21:40:52,Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire5,Umpire19
2014-01-30 08:16:21,Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Delhi Capitals,Umpire8,Umpire11
2007-07-09 08:54:44,Gujarat Titans,Lucknow Super Giants,Eden Gardens,Gujarat Titans,field,Gujarat Titans,Umpire17,Umpire15
2015-11-03 21:17:28,Delhi Capitals,Chennai Super Kings,Wankhede Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire16,Umpire16
2015-04-28 00:58:34,Mumbai Indians,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,Umpire14,Umpire14
2024-02-05 03:51:36,Kolkata Knight Riders,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire19,Umpire3
2020-06-02 19:08:56,Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire19,Umpire7
2016-08-17 01:03:59,Chennai Super Kings,Royal Challengers Bangalore,Eden Gardens,Chennai Super Kings,bat,Royal Challengers Bangalore,Umpire1,Umpire1
2014-10-23 20:45:39,Gujarat Titans,Chennai Super Kings,Wankhede Stadium,Gujarat Titans,bat,Chennai Super Kings,Umpire15,Umpire20
2009-11-13 10:25:19,Kings XI Punjab,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire6,Umpire3
2013-09-18 11:37:44,Chennai Super Kings,Mumbai Indians,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire14,Umpire6
2022-08-19 23:03:42,Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Umpire20,Umpire16
2021-05-26 09:37:35,Delhi Capitals,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Delhi Capitals,Umpire16,Umpire13
2018-11-25 06:26:18,Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire14,Umpire16
2008-05-03 11:35:53,Chennai Super Kings,Kings XI Punjab,Eden Gardens,Kings XI Punjab,field,Kings XI Punjab,Umpire2,Umpire14
2019-04-05 15:49:35,Sunrisers Hyderabad,Delhi Capitals,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire17,Umpire18
2021-08-02 04:36:56,Sunrisers Hyderabad,Delhi Capitals,Wankhede Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire12,Umpire14
2016-06-19 15:37:56,Gujarat Titans,Kings XI Punjab,M. Chinnaswamy Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire3,Umpire2
2022-12-29 14:30:12,Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire5,Umpire1
2021-06-16 00:27:57,Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire9,Umpire7
2012-07-22 23:19:37,Chennai Super Kings,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire14,Umpire4
2024-03-21 16:17:38,Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,Gujarat Titans,field,Gujarat Titans,Umpire2,Umpire6
2015-05-05 10:53:53,Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,Chennai Super Kings,bat,Mumbai Indians,Umpire7,Umpire6
2013-12-01 09:25:22,Kings XI Punjab,Chennai Super Kings,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire9,Umpire9
2020-08-30 20:27:59,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire6,Umpire15
2010-10-30 09:23:08,Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire7,Umpire13
2012-06-14 19:08:30,Rajasthan Royals,Kolkata Knight Riders,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire17,Umpire13
2018-05-15 23:57:38,Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire6,Umpire4
2012-12-06 23:21:19,Gujarat Titans,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Gujarat Titans,Umpire7,Umpire4
2012-09-20 09:38:24,Delhi Capitals,Lucknow Super Giants,Eden Gardens,Delhi Capitals,bat,Lucknow Super Giants,Umpire8,Umpire14
2019-09-16 20:28:54,Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire2,Umpire8
2015-04-22 14:45:17,Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Lucknow Super Giants,Umpire1,Umpire6
2020-06-26 22:23:48,Royal Challengers Bangalore,Lucknow Super Giants,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Lucknow Super Giants,Umpire12,Umpire11
2021-02-20 11:18:33,Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire18,Umpire8
2014-11-26 19:23:30,Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire8,Umpire14
2015-12-21 01:28:02,Rajasthan Royals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire17,Umpire7
2021-06-10 18:39:29,Royal Challengers Bangalore,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire20,Umpire10
2023-03-31 17:13:31,Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Mumbai Indians,bat,Sunrisers Hyderabad,Umpire4,Umpire20
2021-07-25 06:34:21,Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire9,Umpire5
2010-08-20 04:37:27,Chennai Super Kings,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Chennai Super Kings,Umpire12,Umpire6
